Risc_1,Risc_2,Risc_3,Risc_4,Risc_5,Risc_6,Risc_7,Risc_8,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5,Signal_6,Signal_7,Signal_8,Voltaggio_1,Voltaggio_2,Voltaggio_3,Voltaggio_4,Voltaggio_5,Voltaggio_6,Voltaggio_7,Voltaggio_8,RH,Data,O3,NO2,CO
130.845762711864,133.132203389831,129.454237288136,128.805084745763,129.630508474576,128.506779661017,140.898305084746,103.228813559322,90805.9661016949,77197.7288135593,73419.2203389831,92945.6779661017,19759342.8813559,10790866.8813559,213307537.355932,77288509.559322,3.94983050847457,3.87898305084746,3.92118644067796,3.92050847457627,3.9028813559322,3.88016949152542,4.70542372881356,4.27186440677966,7.27796610169492,01-Jan-2020 01,4,56,0.9
130.857627118644,133.152542372881,129.503389830508,128.864406779661,129.681355932203,128.528813559322,140.930508474576,103.286440677966,90245.1186440678,76374.2542372881,74925.6101694915,94597.4745762712,19626381.4237288,10703406.2711864,214822706.711864,75469825.7627119,3.95101694915254,3.87864406779661,3.9228813559322,3.92084745762711,3.90389830508475,3.88033898305084,4.70542372881356,4.27305084745763,7.08474576271187,01-Jan-2020 02,4,65,1
130.837288135593,133.128813559322,129.450847457627,128.81186440678,129.591525423729,128.496610169491,140.840677966102,103.266101694915,92391.9661016949,78006.9491525424,76984.2372881356,96983.1355932203,19782282.8813559,10756477.5254237,214273610.305085,77799617.0847458,3.94949152542373,3.87864406779661,3.92101694915254,3.92033898305084,3.90101694915255,3.88050847457627,4.70338983050847,4.27152542372882,7.0864406779661,01-Jan-2020 03,4,61,1
130.871186440678,133.123728813559,129.442372881356,128.849152542373,129.581355932203,128.462711864407,140.928813559322,103.228813559322,92254.6101694915,79503.6949152542,77481.2033898305,97609.9152542373,19963623.6610169,10692261.3220339,230171763.79661,82039960.2711864,3.95118644067796,3.87830508474576,3.92101694915254,3.92033898305084,3.9006779661017,3.88033898305084,4.70406779661017,4.27050847457627,6.9322033898305,01-Jan-2020 04,3,54,0.8
130.913333333333,133.196666666667,129.475,128.89,129.655,128.56,140.971666666667,103.275,91436.7833333333,81407.9166666667,77742.5833333333,97834.1,20054851.7333333,10614052.9666667,236654050.133333,86034021.0666667,3.95233333333333,3.8795,3.922,3.92133333333333,3.90333333333334,3.88133333333333,4.70533333333333,4.2725,6.85666666666667,01-Jan-2020 05,3,49,0.7
130.886440677966,133.142372881356,129.428813559322,128.849152542373,129.6,128.471186440678,140.942372881356,103.262711864407,92441.9830508475,82814.0338983051,80360.5423728814,102437.118644068,20683237.4915254,10899637.8305085,245277483.661017,89594187.3898305,3.95084745762712,3.87830508474576,3.92067796610169,3.92033898305084,3.90152542372882,3.87949152542373,4.70406779661017,4.27101694915255,6.85084745762712,01-Jan-2020 06,3,43,0.6
130.869491525424,133.138983050848,129.440677966102,128.830508474576,129.58813559322,128.484745762712,140.942372881356,103.240677966102,94176.5423728814,83528.1525423729,83028.1016949153,106494.661016949,21067784.3389831,11080059.5254237,245047715.79661,90879026.0338983,3.95050847457627,3.87915254237288,3.92118644067796,3.91983050847457,3.90118644067797,3.88,4.7035593220339,4.27033898305085,6.87966101694915,01-Jan-2020 07,3,40,0.5
130.830508474576,133.14406779661,129.483050847458,128.893220338983,129.638983050847,128.494915254237,140.896610169492,103.291525423729,94267.186440678,82388.7457627119,84340.1694915254,109005.033898305,21076723.6949153,11194435.8983051,237603635.525424,88175779.7966102,3.94881355932203,3.87847457627118,3.92203389830508,3.92,3.90237288135593,3.87983050847457,4.70338983050847,4.27237288135594,6.8728813559322,01-Jan-2020 08,3,42,0.5
130.866101694915,133.133898305085,129.440677966102,128.859322033898,129.589830508475,128.486440677966,140.937288135593,103.254237288136,89427.4915254237,79679.593220339,86666.0508474576,116272.559322034,20326712.3050847,10990934.5084746,233758610.169492,84296741.1525424,3.95050847457627,3.87915254237288,3.92067796610169,3.92067796610169,3.90118644067797,3.88016949152542,4.7035593220339,4.27135593220339,6.94915254237288,01-Jan-2020 09,4,45,0.6
130.869491525424,133.137288135593,129.452542372881,128.830508474576,129.615254237288,128.518644067797,140.901694915254,103.247457627119,100317.271186441,79508.8305084746,123202.440677966,216426.915254237,23347938.5084746,13591524.7457627,235405204.61017,86153866.1694915,3.95033898305085,3.87847457627118,3.92101694915254,3.92067796610169,3.90237288135593,3.88050847457627,4.70440677966101,4.27203389830509,7.4406779661017,01-Jan-2020 10,7,42,0.6
130.87,133.138333333333,129.466666666667,128.83,129.601666666667,128.523333333333,140.858333333333,103.251666666667,125980.466666667,81080.6833333333,257063.8,546906.583333333,25379962.8,16098072.5333333,243711021.333333,91502894.8,3.9505,3.87833333333333,3.92166666666666,3.92,3.902,3.88033333333333,4.7045,4.27216666666667,7.82833333333333,01-Jan-2020 11,14,42,0.6
